x, y, z
2.00,6.00,0.57
2.00,7.00,0.57
2.00,8.00,0.57
2.00,9.00,0.57
3.00,0.00,0.57
3.00,1.00,0.57
3.00,11.00,0.57
3.00,3.00,0.57
3.00,5.00,0.57
3.00,7.00,0.57
3.00,9.00,0.57
4.00,0.00,0.57
4.00,1.00,0.57
4.00,11.00,0.57
4.00,3.00,0.57
4.00,5.00,0.57
4.00,7.00,0.57
4.00,9.00,0.57
5.00,0.00,0.57
5.00,1.00,0.57
5.00,10.00,0.57
5.00,11.00,0.57
5.00,3.00,0.57
5.00,5.00,0.57
5.00,7.00,0.57
-1.00,6.00,0.57
-1.00,7.00,0.57
-1.00,8.00,0.57
-1.00,9.00,0.57
10.00,10.00,0.57
10.00,11.00,0.57
10.00,6.00,0.57
10.00,7.00,0.57
10.00,8.00,0.57
10.00,9.00,0.57
11.00,10.00,0.57
11.00,11.00,0.57
11.00,6.00,0.57
11.00,7.00,0.57
11.00,8.00,0.57
11.00,9.00,0.57
12.00,10.00,0.57
12.00,11.00,0.57
12.00,7.00,0.57
12.00,8.00,0.57
12.00,9.00,0.57
13.00,14.00,0.57
13.00,11.00,0.57
13.00,7.00,0.57
13.00,9.00,0.57
14.00,10.00,0.57
14.00,11.00,0.57
6.00,0.00,0.57
6.00,1.00,0.57
6.00,10.00,0.57
6.00,11.00,0.57
6.00,2.00,0.57
6.00,3.00,0.57
6.00,4.00,0.57
6.00,5.00,0.57
6.00,6.00,0.57
6.00,7.00,0.57
6.00,8.00,0.57
6.00,9.00,0.57
7.00,0.00,0.57
7.00,1.00,0.57
7.00,10.00,0.57
7.00,11.00,0.57
7.00,2.00,0.57
7.00,3.00,0.57
7.00,4.00,0.57
7.00,5.00,0.57
7.00,6.00,0.57
7.00,7.00,0.57
7.00,8.00,0.57
7.00,9.00,0.57
8.00,10.00,0.57
8.00,11.00,0.57
8.00,6.00,0.57
8.00,7.00,0.57
8.00,8.00,0.57
8.00,9.00,0.57
9.00,10.00,0.57
9.00,11.00,0.57
9.00,6.00,0.57
9.00,8.00,0.57
0.00,0.00,0.57
0.00,1.00,0.57
0.00,10.00,0.57
0.00,11.00,0.57
0.00,2.00,0.57
0.00,3.00,0.57
0.00,4.00,0.57
0.00,5.00,0.57
0.00,6.00,0.57
0.00,7.00,0.57
0.00,8.00,0.57
0.00,9.00,0.57
10.00,10.00,0.57
10.00,11.00,0.57
10.00,6.00,0.57
10.00,7.00,0.57
10.00,8.00,0.57
10.00,9.00,0.57
11.00,10.00,0.57
11.00,11.00,0.57
11.00,6.00,0.57
11.00,7.00,0.57
11.00,8.00,0.57
11.00,9.00,0.57
12.00,10.00,0.57
12.00,11.00,0.57
12.00,7.00,0.57
12.00,8.00,0.57
12.00,9.00,0.57
13.00,10.00,0.57
13.00,11.00,0.57
13.00,7.00,0.57
13.00,9.00,0.57
14.00,10.00,0.57
14.00,11.00,0.57
1.00,0.00,0.57
1.00,1.00,0.57
1.00,10.00,0.57
1.00,11.00,0.57
1.00,2.00,0.57
1.00,3.00,0.57
1.00,4.00,0.57
1.00,5.00,0.57
1.00,6.00,0.57
1.00,7.00,0.57
1.00,8.00,0.57
1.00,9.00,0.57
2.00,0.00,0.57
2.00,1.00,0.57
2.00,10.00,0.57
2.00,11.00,0.57
2.00,2.00,0.57
2.00,3.00,0.57
2.00,4.00,0.57
2.00,5.00,0.57
2.00,6.00,0.57
2.00,7.00,0.57
2.00,8.00,0.57
2.00,9.00,0.57
3.00,0.00,0.57
3.00,1.00,0.57
3.00,11.00,0.57
3.00,3.00,0.57
3.00,5.00,0.57
3.00,7.00,0.57
3.00,9.00,0.57
4.00,0.00,0.57
4.00,1.00,0.57
4.00,11.00,0.57
4.00,2.00,0.57
4.00,3.00,0.57
4.00,5.00,0.57
4.00,7.00,0.57
4.00,9.00,0.57
5.00,0.00,0.57
5.00,1.00,0.57
5.00,10.00,0.57
5.00,11.00,0.57
5.00,2.00,0.57
5.00,3.00,0.57
5.00,5.00,0.57
5.00,7.00,0.57
6.00,0.00,0.57
6.00,1.00,0.57
6.00,10.00,0.57
6.00,11.00,0.57
6.00,2.00,0.57
6.00,3.00,0.57
6.00,4.00,0.57
6.00,6.00,0.57
6.00,7.00,0.57
6.00,8.00,0.57
6.00,9.00,0.57
7.00,0.00,0.57
7.00,1.00,0.57
7.00,10.00,0.57
7.00,11.00,0.57
7.00,2.00,0.57
7.00,3.00,0.57
7.00,4.00,0.57
7.00,5.00,0.57
7.00,6.00,0.57
7.00,7.00,0.57
7.00,8.00,0.57
7.00,9.00,0.57
8.00,10.00,0.57
8.00,11.00,0.57
8.00,6.00,0.57
8.00,7.00,0.57
8.00,8.00,0.57
8.00,9.00,0.57
9.00,10.00,0.57
9.00,11.00,0.57
9.00,6.00,0.57
9.00,8.00,0.57
-1.00,6.00,0.57
-1.00,7.00,0.57
-1.00,8.00,0.57
-1.00,9.00,0.57
